smiles,pKa,marvin_pKa,marvin_atom,marvin_pKa_type,original_dataset,ID
Brc1cccc(Br)c1N(CC1CCCCC1)C1=[NH+]CCN1,11.2,8.86,16,basic,['chembl25'],556984
Brc1cccc(Br)c1N(Cc1ccccc1)C1=[NH+]CCN1,10.4,8.56,17,basic,['chembl25'],566249
Brc1cccc(Br)c1N(Cc1ccco1)C1=[NH+]CCN1,10.5,8.05,15,basic,['chembl25'],553405
Brc1cccc(Br)c1N(Cc1cccs1)C1=[NH+]CCN1,10.51,8.35,15,basic,['chembl25'],566253
Brc1cccc(Br)c1NC1=[NH+]CCN1,7.85,8.5,9,basic,['chembl25'],14686568
Brc1cccc(N(CC2CC2)C2=[NH+]CCN2)c1Br,11.1,8.94,14,basic,['chembl25'],578810
Brc1cccc(N2CCc3ccccc3C2)n1,2,2.78,15,basic,['chembl25'],866791
Brc1ccccc1-c1nn[n-]n1,3.83,5.78,8,acidic,['datawarrior'],1001
Brc1ccccc1N(CC1CC1)C1=[NH+]CCN1,11.2,9.42,12,basic,['chembl25'],584878
Brc1ccccc1Nc1c2ccccc2nc2ccccc12,6.41,8.46,13,basic,['chembl25'],815736
Brc1cccnc1,2.94,3.45,4,basic,['datawarrior'],7870
Brc1ccnc2c1ccc1cccnc12,4.03,3.84,12,basic,['datawarrior'],7176
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.9,3.04,13,basic,['datawarrior'],4968
Brc1cncc2ccccc12,3.54,3.65,7,basic,['datawarrior'],3916
Brc1nn[n-]n1,2.13,4.47,2,acidic,['datawarrior'],7282
C#CC#CC#CCC(O)CCC(=O)[O-],4.75,3.36,12,acidic,['datawarrior'],2282
C#CC(C)(C(C)C)[NH+](C)C(C)C,8.7,10.04,7,basic,['datawarrior'],1321
C#CC(C)(C)Nc1ccccc1,4.26,2.81,5,basic,['datawarrior'],755
C#CC(C)(C)[NH+](C)C(C)(C)C,9.3,9.88,4,basic,['datawarrior'],4095
C#CC(C)(C)[NH+](C)C(C)(C)C#C,6.65,8.74,5,basic,['datawarrior'],1322
C#CC(C)(C)[NH+](C)C(C)C,8.7,9.59,3,basic,['datawarrior'],1879
C#CC(C)(C)[NH+](CC)C(C)(C)C,9.6,10.15,2,basic,['datawarrior'],1319
C#CC(C)(C)[NH2+]C(C)(C)C#C,6.45,8.43,5,basic,['datawarrior'],4102
C#CC(C)(C)[NH2+]C(C)(C)C=C,8.2,8.97,5,basic,['datawarrior'],4100
C#CC(C)(C)[NH2+]C(C)(C)CC,9,9.77,5,basic,['datawarrior'],4101
C#CC(C)Nc1ccccc1,3.25,2.86,4,basic,['datawarrior'],4399
C#CC(CC)(CC)[NH+](C)C(C)C,8.8,10.04,7,basic,['datawarrior'],1320
C#CC(CC)(CC)[NH+](CC)C(C)C,8.2,10.32,7,basic,['datawarrior'],3206
C#CCC(=O)[O-],3.31,3.91,5,acidic,['datawarrior'],7330
C#CCCC(=O)[O-],4.2,4.36,6,acidic,['datawarrior'],7604
C#CCCCC(=O)[O-],4.6,4.54,7,acidic,['datawarrior'],344
C#CCCCCC(=O)[O-],4.58,4.67,8,acidic,['datawarrior'],2571
C#CCCCCCC[NH3+],10.74,10.2,8,basic,['datawarrior'],2629
C#CCCCCC[NH3+],10.64,10.2,7,basic,['datawarrior'],421
C#CCCCC[NH+](C)C,9.24,9.78,1,basic,['datawarrior'],2639
C#CCCCC[NH3+],10.5,10.2,6,basic,['datawarrior'],7677
C#CCCCCn1c[n+](C)c(CN=O)n1,7.34,10.87,6,acidic,['chembl25'],829765
C#CCCC[NH+](C)C,8.88,9.78,1,basic,['datawarrior'],428
C#CCCC[NH3+],10.21,10.17,5,basic,['datawarrior'],7419
C#CCC[NH+](C)C,8.33,9.25,1,basic,['datawarrior'],7687
C#CCC[NH3+],9.23,9.87,4,basic,['datawarrior'],7542
C#CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.1,7.84,13,basic,['chembl25'],555800
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.3,9.82,13,basic,['chembl25'],2397260
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,9.82,12,basic,['chembl25'],2397264
C#CCNN,5.46,7.96,4,basic,['datawarrior'],7525
C#CCNc1ccccc1,3.06,2.92,3,basic,['datawarrior'],1622
C#CCOc1noc2c1C[NH2+]CC2,7.6,7.3,11,basic,['chembl25'],602489
C#CC[NH+](C)C,7.05,8.52,1,basic,['datawarrior'],7429
C#CC[NH+](C)[C@H](C)Cc1ccccc1,8.015,8.67,9,basic,['chembl25'],2062777
C#CC[NH+]1CCN(C(=O)OCC)CC1,5.44,6.07,8,basic,['datawarrior'],2143
C#CC[NH+]1CCOCC1,5.54,6.62,3,basic,['datawarrior'],3122
C#CC[NH2+]CC#C,6.08,8.05,3,basic,['datawarrior'],7681
C#CC[NH3+],8.19,8.97,3,basic,['datawarrior'],7254
C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,9.53,9.97,10,basic,['datawarrior'],7101
C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@H]2CCCC[C@@H]21,8.99,9.97,10,basic,['datawarrior'],7102
C#C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.73,10.05,10,basic,['datawarrior'],2512
C#C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,9.29,10.05,10,basic,['datawarrior'],2513
C#C[C@]1(O)C[C@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,9.22,9.97,10,basic,['datawarrior'],7100
C#C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.63,10.05,10,basic,['datawarrior'],2511
C#N,9.18,9.5,0,acidic,['datawarrior'],4732
C(=C/c1ccccc1)\CN1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,7.47,8.1,12,basic,['chembl25'],2062632
C(=C/c1ccncc1)\c1ccccc1,5.97,5.29,11,basic,['datawarrior'],2467
C(=C\c1ccncc1)\c1ccccc1,5.77,5.29,11,basic,['datawarrior'],2466
C(=N/c1ccccc1)\c1ccccc1,4.55,2.67,7,basic,['datawarrior'],2468
C(Nc1ccccc1)=[NH+]c1ccccc1,6.3,7.91,8,basic,['datawarrior'],6986
C/C(=C(\CCO)SSCCC(C)C)N(C=O)Cc1cnc(C)nc1N,5.58,6.26,2,basic,['datawarrior'],6371
C/C(=C/Cl)C(=O)[O-],3.05,3.32,6,acidic,['datawarrior'],7623
C/C(=C\Cl)C(=O)[O-],4.03,3.62,6,acidic,['datawarrior'],7624
C/C(=C\c1ccccc1)CC(=O)[O-],5.35,4.71,12,acidic,['datawarrior'],3485
C/C(N)=N/[NH+](C)C,10,9.62,2,basic,['datawarrior'],7756
C/C(N)=[NH+]/O,5.9,6.04,2,basic,['datawarrior'],7538
C/C(O)=C/C(N)=O,9.46,11.12,6,acidic,['datawarrior'],7708
C/C=C(/C)C(=O)[O-],4.3,4.78,6,acidic,['chembl25'],13459761
C/C=C(\Cl)C(=O)[O-],3.22,3.18,5,acidic,['datawarrior'],7614
C/C=C/C#CC(=O)[O-],2.67,2.8,7,acidic,['datawarrior'],346
C/C=C/C(=O)[O-],4.79,4.71,5,acidic,['datawarrior'],7327
C/C=C/C1=C([O-])c2ccccc2C(=O)C1=O,4.78,5.75,15,acidic,['datawarrior'],5049
C/C=C/C=C/C(=O)[O-],4.53,4.78,7,acidic,['datawarrior'],338
C/C=C/CC(=O)[O-],4.28,4.83,6,acidic,['datawarrior'],7601
C/C=C/CCC(=O)[O-],4.72,4.98,7,acidic,['datawarrior'],342
C/C=C/CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11,8.51,14,basic,['chembl25'],582359
C/C=C/COc1noc2c1C[NH2+]CC2,7.7,7.3,12,basic,['chembl25'],617708
C/C=C1/C[NH+]2[C@@H]3C[C@H]1C1[C@@H](O)[C@]4(C[C@@H]12)c1ccccc1N(C)[C@@H]34,8.5,7.58,4,basic,['datawarrior'],6859
C/C=C\C=C/C(=O)[O-],4.51,4.78,7,acidic,['datawarrior'],337
C/N=C(/SC)c1ccccc1,6.42,6.41,1,basic,['datawarrior'],4423
C/N=C(\C)SC,7.71,7.08,2,basic,['datawarrior'],7438
C/N=C(\NC#N)Nc1cccc(-c2csc([NH+]=C(N)N)n2)c1,6.2,6.98,18,basic,['chembl25'],517099
C/N=C1/CCCCC1C,9.47,10.05,7,basic,['datawarrior'],3012
C/N=c1/oc2c(n1C)CCCC2,10.23,7.95,1,basic,['datawarrior'],1099
C/N=c1/sc2c(n1C)CCCC2,10,10.01,1,basic,['datawarrior'],1073
C/N=c1/scc(C)n1C,9.97,10.08,5,basic,['datawarrior'],2920
C1=C(c2ccccc2)C2CC[NH+]1CC2,9.1,7.82,8,basic,['datawarrior'],6022
C1=C(c2ccco2)C2CC[NH+]1CC2,8.92,8.26,7,basic,['datawarrior'],3737
C1=C(c2nc3ccccc3o2)C2CC[NH+]1CC2,7.23,6.74,11,basic,['datawarrior'],6061
C1=C(c2nc3ccccc3s2)C2CC[NH+]1CC2,7.4,6.87,11,basic,['datawarrior'],6060
C1=C[NH+]2CCC1CC2,9.82,9.6,2,basic,['datawarrior'],333
C1=NC(c2ccccc2)[NH2+]C1,6.48,4.45,7,basic,['chembl25'],982828
C1=NC[NH2+]C1,6.99,5.96,2,basic,['chembl25'],977614
C1CC2CC1NN2,7.94,8.63,6,basic,['datawarrior'],4591
C1CC2CCC1C[NH2+]2,11,10.33,7,basic,['chembl25'],3395157
C1CC2CCC[NH+]2C1,11.74,10.96,6,basic,['datawarrior'],336
C1CCC(C2=NCCC2)CC1,6.05,9.34,7,basic,['datawarrior'],3902
C1CCC(C2CCC[NH2+]2)CC1,10.8,11.65,10,basic,['datawarrior'],3904
C1CCC([NH+]2CCCC2)CC1,10.7,10.91,6,basic,['datawarrior'],3909
C1CCC2C[NH2+]CCC2C1,10.95,10.48,5,basic,['datawarrior'],2028
C1CCC2[NH2+]CCCC2C1,10.9,10.66,9,basic,['datawarrior'],2039
C1CCC[NH2+]CC1,10.94,10.66,4,basic,"['datawarrior', 'chembl25']",12099899
C1CCC[NH2+]CCC1,10.78,10.69,4,basic,['datawarrior'],191
C1CCN(N2CCCC2)C1,7.16,7.19,5,basic,['datawarrior'],1991
C1CCN(N2CCCCC2)CC1,7.09,7.72,6,basic,['datawarrior'],1037
C1CCN2CCCCN2C1,6.79,7.19,8,basic,['datawarrior'],1990
C1CC[NH2+]C1,11.285,11.4,3,basic,"['datawarrior', 'chembl25']",12099897
C1CC[NH2+]CC1,11.18,10.4,3,basic,"['datawarrior', 'chembl25']",2572878
C1CCc2c(nnc3c2CCCC3)C1,6.12,4.38,8,basic,['datawarrior'],6003
C1CCc2nnc3c(c2CC1)CCCC3,6.03,4.38,6,basic,['datawarrior'],7156
C1CN2CCCN2C1,7.95,6.33,6,basic,['datawarrior'],329
C1COC(NC(C2CC2)C2CC2)=[NH+]1,9.26,7.1,9,basic,['chembl25'],874677
C1COCCOCc2n[nH]c(n2)COCCOCCO1,9.55,8.63,8,acidic,['datawarrior'],5452
C1COCC[NH2+]1,8.4825,8.5,5,basic,"['datawarrior', 'chembl25']",12099905
C1CSCC[NH2+]1,9.05,9.33,5,basic,['datawarrior'],7313
C1CSC[NH2+]1,6.31,8.6,4,basic,['datawarrior'],7597
C1C[NH+](CC2CO2)CCO1,5.88,6.79,5,basic,['datawarrior'],2048
C1C[NH+]2CCC1CC2,11.04,10.9,2,basic,['datawarrior'],334
C1C[NH+]2CC[C@@H]3OC[C@H]1[C@@H]32,9.44,9.8,2,basic,['datawarrior'],1364
C1C[NH+]=C2NCCC2C1,11.7,9.51,7,basic,['datawarrior'],2727
C1C[NH2+]1,6.05,8.03,2,basic,['datawarrior'],4749
C1C[NH2+]C1,10.995,10.76,2,basic,"['datawarrior', 'chembl25']",12099900
C1OC1C[NH+](CC1CO1)CC1CO1,5.01,7.32,4,basic,['datawarrior'],3739
C=C(Br)COc1noc2c1C[NH2+]CC2,7.6,7.3,11,basic,['chembl25'],618950
C=C(C(=O)O[C@H]1C[C@@H]2[C@@H]3O[C@@H]3[C@H](C1)[NH+]2C)c1ccccc1,7.72,6.98,1,basic,['datawarrior'],6429
C=C(C)C(=O)NC(C)(C)CC[NH+](C)C,9.37,9.25,11,basic,['datawarrior'],2289
C=C(C)C(=O)NC(C)C[NH+](C)C,8.51,8.72,3,basic,['datawarrior'],1315
C=C(C)C(=O)NCCC[NH+](C)C,9.25,9.29,9,basic,['datawarrior'],1314
C=C(C)C(=O)NCC[NH+](C)C,8.54,8.5,8,basic,['datawarrior'],4084
C=C(C)C(=O)NCC[NH+](CC)CC,9.37,9.04,2,basic,['datawarrior'],3197
C=C(C)C(=O)OC(C)C[NH+](C)C,7.96,8.64,3,basic,['datawarrior'],1338
C=C(C)C(=O)OC(C)C[NH+](CC)CC,8.65,9.2,2,basic,['datawarrior'],2301
C=C(C)C(=O)OCCC[NH3+],9.62,10.13,9,basic,['datawarrior'],1897
C=C(C)C(=O)OCC[NH+](C(C)C)C(C)C,8.77,9.52,3,basic,['datawarrior'],4603
C=C(C)C(=O)OCC[NH+](C)C,8.06,8.41,8,basic,['datawarrior'],4111
C=C(C)C(=O)OCC[NH+](C)CCCC,8.27,8.92,4,basic,['datawarrior'],2295
C=C(C)C(=O)OCC[NH+](CC)CC,8.66,8.96,2,basic,['datawarrior'],3209
C=C(C)C(=O)OCC[NH2+]C,8.96,9.3,8,basic,['datawarrior'],1891
C=C(C)C(=O)OCC[NH2+]C(C)C,9.13,9.47,3,basic,['datawarrior'],1329
C=C(C)C(=O)OCC[NH2+]CC,9.15,9.38,2,basic,['datawarrior'],4110
C=C(C)C(=O)OCC[NH2+]CC(C)C,8.91,9.66,4,basic,['datawarrior'],3208
C=C(C)C(=O)OCC[NH2+]CCCC,9.12,9.52,4,basic,['datawarrior'],3207
C=C(C)C(=O)OCC[NH3+],8.7,9.22,8,basic,['datawarrior'],2649
C=C(C)C(=O)[O-],4.66,4.66,5,acidic,['datawarrior'],7332
C=C(C)C(C)(C(N)=O)C(=O)[O-],3.42,4.03,10,acidic,['datawarrior'],4127
C=C(C)C([NH3+])O,8,8.85,4,basic,['datawarrior'],7466
C=C(C)CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.9,8.76,15,basic,['chembl25'],562838
C=C(C)CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.71,8.54,14,basic,['chembl25'],571474
C=C(C)[C@@H]1CN(C(C)=O)[C@H](C(=O)OC)[C@@H]1CC(=O)[O-],4.6,4.35,11,acidic,['datawarrior'],6781
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)OC,9.52,10.85,5,basic,['datawarrior'],4896
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(N)=O,9.47,11.35,5,basic,['datawarrior'],4655
C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,3.5,2.8,18,acidic,['chembl25'],399493
C=C(CCCC)C(=O)[O-],4.8,4.95,8,acidic,['datawarrior'],2579
C=C(F)C(=O)[O-],2.55,2.72,4,acidic,['datawarrior'],7342
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,9.82,13,basic,['chembl25'],2397261
C=C(OC)C(=O)[O-],3.38,3.63,6,acidic,['datawarrior'],7633
C=C(SC1CCCCC1)C(=O)[O-],3.4,4.34,4,acidic,['datawarrior'],552
C=C1[C@@H]2CC3C4[NH+]5C[C@]6(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]47C6[C@@H]5C[C@]3([C@H]1OC(C)=O)[C@@]7(O)C2,8.35,9.22,8,basic,['datawarrior'],4768
C=C=CC(=O)[O-],3.96,3.76,5,acidic,['datawarrior'],7326
C=CC#CCC(=O)[O-],3.41,3.99,7,acidic,['datawarrior'],345
C=CC(=O)NC(C)(C)CC[NH+](C)C,9.39,9.25,5,basic,['datawarrior'],3198
C=CC(=O)NC(C)(C)CC[NH+](CC)CC,10.09,9.81,2,basic,['datawarrior'],4596
C=CC(=O)NCCC[NH+](C)C,9.23,9.29,1,basic,['datawarrior'],4083
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CC[NH+](C)C,9,8.86,1,basic,['chembl25'],15073163
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC([NH+](C)C)C1,7.2,8.27,1,basic,['chembl25'],15073215
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H]([NH+](C)C)C1,8.1,9.21,1,basic,['chembl25'],15073117
C=CC(=O)OCC[NH+](C)C,8.25,8.41,1,basic,"['datawarrior', 'chembl25']",14691541
C=CC(=O)OCC[NH+](CC)CC,8.55,8.96,2,basic,['datawarrior'],1339
C=CC(=O)[O-],4.25,4.52,4,acidic,['datawarrior'],7490
C=CC(C)(C)Nc1ccccc1,4.88,4.42,5,basic,['datawarrior'],753
C=CC(C)(C)OCC(O)C[NH2+]C(C)(C)C,9.67,9.96,4,basic,['chembl25'],507094
C=CC(C)(C)[NH+](C)C(C)(C)C,11.3,10.39,4,basic,['datawarrior'],4093
C=CC(C)(C)[NH2+]C(C)(C)C=C,10.1,9.5,5,basic,['datawarrior'],4097
C=CC(C)(C)[NH2+]C(C)(C)CC,10.8,10.31,5,basic,['datawarrior'],4098
C=CC(C)(CC)[NH+](C)C(C)C,11.3,10.31,6,basic,['datawarrior'],4096
C=CC(C)Nc1ccccc1,4.57,4.47,4,basic,['datawarrior'],4397
C=CC(Cl)C(=O)[O-],2.54,3.51,5,acidic,['datawarrior'],7615
C=CC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.5,3.37,21,acidic,['chembl25'],851472
C=CC1C[NH+]2CCC1C[C@H]2C(=O)[O-],10.6,8.53,4,basic,['datawarrior'],3392
C=CCC(=O)[O-],4.33,4.7,5,acidic,['datawarrior'],7328
C=CCC(C)(C[NH+](CC)CC)OC(=O)CC(C)C,8.1,9.52,2,basic,['datawarrior'],5634
C=CCC(C)(C[NH+](CC)CC)OC(=O)CCC,8.5,9.52,12,basic,['datawarrior'],6045
C=CCC(C)(C[NH+](CC)CC)OC(=O)c1ccccc1,7.8,9.52,2,basic,['datawarrior'],5281
C=CCC(C)(C[NH+](CC)CC)OC(C)=O,9.85,9.52,2,basic,['datawarrior'],4601
C=CCC(C)(O)C[NH+](CC)CC,9.71,10.07,2,basic,['datawarrior'],1347
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74,7.73,9,acidic,['chembl25'],949049
C=CCC1(CC=C)SC(=O)[N-]C1=O,6.1,7.87,6,acidic,['datawarrior'],3663
C=CCCC(=O)[O-],4.68,4.89,6,acidic,['datawarrior'],7602
C=CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.2,8.72,14,basic,['chembl25'],586099
C=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.7,8.47,13,basic,['chembl25'],559443
C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,10.42,8.17,13,basic,['chembl25'],562834
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1C[NH3+],9.5,9.82,12,basic,['chembl25'],2170936
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,9.82,13,basic,['chembl25'],2397262
C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,6.71,23,basic,['chembl25'],3262792
C=CCNc1ccccc1,4.17,4.54,3,basic,['datawarrior'],1620
C=CCOc1ccc(C(=O)[O-])cc1,4.45,4.36,12,acidic,['datawarrior'],3524
C=CCOc1ccccc1OCC(O)C[NH2+]C(C)C,9.523333,9.66,3,basic,['chembl25'],15446302
C=CCOc1nc(N)nc(N)n1,3.43,6.28,5,basic,['datawarrior'],901
C=CCOc1noc2c1C[NH2+]CC2,7.5,7.3,11,basic,['chembl25'],597556
C=CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N,5.65,6.26,2,basic,['datawarrior'],6939
C=CC[NH+](C)C,8.72,9.05,1,basic,['datawarrior'],7427
C=CC[NH+](C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1,8.18,9.41,1,basic,['chembl25'],98754
C=CC[NH+](C)CCCNC(=O)CN=O,8.99,8.93,1,basic,['datawarrior'],2318
C=CC[NH+](C)CCOC(=O)C(=C)C,7.39,8.05,8,basic,['datawarrior'],3210
C=CC[NH+](CC(C)O)CC(C)O,8.2,8.87,3,basic,['datawarrior'],1332
C=CC[NH+](CC1CO1)CC1CO1,6.16,7.57,3,basic,['datawarrior'],1162
C=CC[NH+](CC=C)CC=C,8.31,8.23,3,basic,['datawarrior'],1874
C=CC[NH+](CC=C)CCCNC(=O)CN=O,8.74,8.57,3,basic,['datawarrior'],5199
C=CC[NH+](CC=C)CCOC(=O)C(=C)C,7.02,7.7,8,basic,['datawarrior'],4602
C=CC[NH+]1CCCCC1,9.66,9.41,3,basic,['datawarrior'],3015
C=CC[NH+]1CCOCC1,7.05,7.13,3,basic,['datawarrior'],3121
C=CC[NH2+]CC=C,9.35,9.15,3,basic,['datawarrior'],7679
C=CC[NH3+],9.74,9.66,3,basic,['datawarrior'],7252
C=CCc1c(C)[nH]n(C)c1=O,10.5,7.04,6,acidic,['datawarrior'],4352
C=CCc1ccc(O)c(OC)c1,10,9.94,8,acidic,['datawarrior'],530
C=CCc1ccccc1OCC(O)C[NH2+]C(C)C,9.527143,9.66,3,basic,"['datawarrior', 'chembl25']",15460201
C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,4,3.97,14,basic,['chembl25'],3218430
C=C[C@@H]1CNC(=S)O1,10.25,8.64,4,acidic,['datawarrior'],295
C=C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.98,10.17,10,basic,['datawarrior'],2509
C=C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,9.51,10.17,10,basic,['datawarrior'],2510
C=C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.83,10.17,10,basic,['datawarrior'],2508
C=C[C@]1(O)C[NH+]2CC[C@H]1C[C@H]2[C@H](O)c1cc(=O)[nH]c2ccccc12,7.65,8.43,4,basic,['datawarrior'],5264
C=Cc1ccc(C)nc1,5.67,5.56,6,basic,['datawarrior'],3007
C=Cc1ccc(O)cc1,9.91,9.56,8,acidic,['datawarrior'],2806
C=Cc1ccccn1,4.95,4.86,7,basic,"['datawarrior', 'chembl25']",14680495
C=Cc1cccnc1,4.87,4.92,6,basic,['datawarrior'],213
C=Cc1ccncc1,5.62,5.45,5,basic,['datawarrior'],194
C=Cc1noc(C2=CCC[NH2+]C2)n1,8.23,8.78,11,basic,['chembl25'],1226596
C=c1[nH]cc(C)c(=C[NH2+]CCCCCC)c1=O,4.805,2.33,11,basic,['datawarrior'],6242
C=c1cc(C)c(=Cc2[nH]c(C)cc2C)[nH]1,8.4,9.61,12,basic,['datawarrior'],6985
CC#C/C=C/C(=O)[O-],4.2,4.08,7,acidic,['datawarrior'],340
CC#CC#CCC(=O)[O-],3.23,3.32,8,acidic,['datawarrior'],2572
CC#CC(=O)[O-],2.63,2.44,5,acidic,['datawarrior'],7331
CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,5.58,4.25,6,basic,['chembl25'],2004751
CC#CCC(=O)[O-],3.6,4.09,6,acidic,['datawarrior'],7605
CC#CCOc1noc2c1C[NH2+]CC2,7.6,7.3,12,basic,['chembl25'],624987
CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,8.6,9.86,15,basic,['chembl25'],2008967
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(CN3CCCc4cccc(OC)c43)s2)cc1,3.4,4,7,acidic,['chembl25'],18124781
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(N3CCC4(CCc5ccccc54)CC3)s2)cc1,3.4,4.05,7,acidic,['chembl25'],18124780
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1,4.3,4.06,7,acidic,['chembl25'],18124778
CC#C[C@H](C)Oc1cc(N)c(Cl)cc1C(=O)N[C@@H]1C[C@H]2CC[C@@H](C1)[NH+]2C,9.95,9.22,22,basic,['datawarrior'],5818
CC(=C1c2ccccc2CC1CC[NH+](C)C)c1cnccn1,9.1,9.8,13,basic,['chembl25'],6314933
CC(=O)/C=C(/C)O,7.64,9.89,6,acidic,['datawarrior'],7610
CC(=O)/C=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,9.24,9.23,25,acidic,['chembl25'],2599432
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.3,7.21,12,acidic,['chembl25'],1282096
