smiles,pKa,pKa_type
C/N=C1/CCCCC1C,9.47,basic
C/N=c1/oc2c(n1C)CCCC2,10.23,basic
C/N=c1/sc2c(n1C)CCCC2,10,basic
C/N=c1/scc(C)n1C,9.97,basic
C1=C(c2ccccc2)C2CC[NH+]1CC2,9.1,basic
C1=C(c2ccco2)C2CC[NH+]1CC2,8.92,basic
C1=C(c2nc3ccccc3o2)C2CC[NH+]1CC2,7.23,basic
C1=C(c2nc3ccccc3s2)C2CC[NH+]1CC2,7.4,basic
C1=CN2CC(c3ccccc3)N=C2S1,8.7,basic
C1=C[NH+]2CCC1CC2,9.82,basic
C1=NC(c2ccccc2)[NH2+]C1,6.48,basic
C1=NCCN1,6.99,basic
C1=NC[NH2+]C1,6.99,basic
C1CC2CC1NN2,7.94,basic
C1CC2CCC1C[NH2+]2,11,basic
C1CC2CCC[NH+]2C1,11.74,basic
C1CCC(C2=NCCC2)CC1,6.05,basic
C1CCC(C2CCCN2)CC1,10.8,basic
C1CCC(C2CCC[NH2+]2)CC1,10.8,basic
C1CCC(NC2CCCCC2)CC1,10.4,basic
C1CCC([NH+]2CCCC2)CC1,10.7,basic
C1CCC2C[NH2+]CCC2C1,10.95,basic
C1CCC2[NH2+]CCCC2C1,10.9,basic
C1CCCNCC1,11.07,basic
C1CCC[NH2+]CC1,10.94,basic
C1CCC[NH2+]CCC1,10.78,basic
C1CCN(N2CCCC2)C1,7.16,basic
C1CCN(N2CCCCC2)CC1,7.09,basic
C1CCN2CCCCN2C1,6.79,basic
C1CCNC1,11.31,basic
C1CCNCC1,11.12,basic
C1CC[NH2+]C1,11.285,basic
C1CC[NH2+]CC1,11.18,basic
C1CCc2c(nnc3c2CCCC3)C1,6.12,basic
C1CCc2nnc3c(c2CC1)CCCC3,6.03,basic
C1CN1,8.04,basic
C1CN2CCC1CC2,10.95,basic
C1CN2CCCN2C1,7.95,basic
C1CN2CCN1CC2,8.82,basic
C1CNC1,11.29,basic
C1CNCCN1,9.731,basic
C1COC(NC(C2CC2)C2CC2)=[NH+]1,9.26,basic
C1COCCN1,8.49,basic
C1COCC[NH2+]1,8.4825,basic
C1CSCCN1,9,basic
C1CSCC[NH2+]1,9.05,basic
C1CSCN1,6.31,basic
C1CSC[NH2+]1,6.31,basic
C1C[NH+](CC2CO2)CCO1,5.88,basic
C1C[NH+]2CCC1CC2,11.04,basic
C1C[NH+]2CC[C@@H]3OC[C@H]1[C@@H]32,9.44,basic
C1C[NH+]=C2NCCC2C1,11.7,basic
C1C[NH2+]1,6.05,basic
C1C[NH2+]C1,10.995,basic
C1OC1C[NH+](CC1CO1)CC1CO1,5.01,basic
C=C(Br)COc1noc2c1CNCC2,7.6,basic
C=C(Br)COc1noc2c1C[NH2+]CC2,7.6,basic
C=C(C(=O)O[C@H]1C[C@@H]2[C@@H]3O[C@@H]3[C@H](C1)[NH+]2C)c1ccccc1,7.72,basic
C=C(C)C(=O)NC(C)(C)CCN(C)C,9.37,basic
C=C(C)C(=O)NC(C)(C)CC[NH+](C)C,9.37,basic
C=C(C)C(=O)NC(C)C[NH+](C)C,8.51,basic
C=C(C)C(=O)NCCCN(C)C,9.25,basic
C=C(C)C(=O)NCCC[NH+](C)C,9.25,basic
C=C(C)C(=O)NCC[NH+](C)C,8.54,basic
C=C(C)C(=O)NCC[NH+](CC)CC,9.37,basic
C=C(C)C(=O)OC(C)C[NH+](C)C,7.96,basic
C=C(C)C(=O)OC(C)C[NH+](CC)CC,8.65,basic
C=C(C)C(=O)OCCC[NH3+],9.62,basic
C=C(C)C(=O)OCCN,8.7,basic
C=C(C)C(=O)OCCNC,8.96,basic
C=C(C)C(=O)OCCNC(C)C,9.13,basic
C=C(C)C(=O)OCCNCC,9.15,basic
C=C(C)C(=O)OCCNCC(C)C,8.91,basic
C=C(C)C(=O)OCCNCCCC,9.12,basic
C=C(C)C(=O)OCC[NH+](C(C)C)C(C)C,8.77,basic
C=C(C)C(=O)OCC[NH+](C)C,8.06,basic
C=C(C)C(=O)OCC[NH+](C)CCCC,8.27,basic
C=C(C)C(=O)OCC[NH+](CC)CC,8.66,basic
C=C(C)C(=O)OCC[NH2+]C,8.96,basic
C=C(C)C(=O)OCC[NH2+]C(C)C,9.13,basic
C=C(C)C(=O)OCC[NH2+]CC,9.15,basic
C=C(C)C(=O)OCC[NH2+]CC(C)C,8.91,basic
C=C(C)C(=O)OCC[NH2+]CCCC,9.12,basic
C=C(C)C(=O)OCC[NH3+],8.7,basic
C=C(C)C([NH3+])O,8,basic
C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br,10.9,basic
C=C(C)CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.9,basic
C=C(C)CN(C1=NCCN1)c1c(Br)cccc1Br,10.71,basic
C=C(C)CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.71,basic
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)OC,9.52,basic
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(N)=O,9.47,basic
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,basic
C=C1[C@@H]2CC3C4[NH+]5C[C@]6(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]47C6[C@@H]5C[C@]3([C@H]1OC(C)=O)[C@@]7(O)C2,8.35,basic
C=CC(=O)NC(C)(C)CCN(C)C,9.39,basic
C=CC(=O)NC(C)(C)CC[NH+](C)C,9.39,basic
C=CC(=O)NC(C)(C)CC[NH+](CC)CC,10.09,basic
C=CC(=O)NCCCN(C)C,9.23,basic
C=CC(=O)NCCC[NH+](C)C,9.23,basic
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CC[NH+](C)C,9,basic
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC([NH+](C)C)C1,7.2,basic
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H]([NH+](C)C)C1,8.1,basic
C=CC(=O)OCC[NH+](C)C,8.25,basic
C=CC(=O)OCC[NH+](CC)CC,8.55,basic
C=CC(C)(C)NC(C)(C)CC,10.8,basic
C=CC(C)(C)Nc1ccccc1,4.88,basic
C=CC(C)(C)OCC(O)C[NH2+]C(C)(C)C,9.67,basic
C=CC(C)(C)OC[C@@H](O)CNC(C)(C)C,9.67,basic
C=CC(C)(C)OC[C@H](O)CNC(C)(C)C,9.67,basic
C=CC(C)(C)[NH+](C)C(C)(C)C,11.3,basic
C=CC(C)(C)[NH2+]C(C)(C)C=C,10.1,basic
C=CC(C)(C)[NH2+]C(C)(C)CC,10.8,basic
C=CC(C)(CC)[NH+](C)C(C)C,11.3,basic
C=CC(C)Nc1ccccc1,4.57,basic
C=CC1C[NH+]2CCC1C[C@H]2C(=O)[O-],10.6,basic
C=CCC(C)(C[NH+](CC)CC)OC(=O)CC(C)C,8.1,basic
C=CCC(C)(C[NH+](CC)CC)OC(=O)CCC,8.5,basic
C=CCC(C)(C[NH+](CC)CC)OC(=O)c1ccccc1,7.8,basic
C=CCC(C)(C[NH+](CC)CC)OC(C)=O,9.85,basic
C=CCC(C)(O)C[NH+](CC)CC,9.71,basic
C=CCCN(C1=NCCN1)c1c(Br)cccc1Br,11.2,basic
C=CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.2,basic
C=CCN,9.7,basic
C=CCN(C)CCCNC(=O)CN=O,8.99,basic
C=CCN(C1=NCCN1)c1c(Br)cccc1Br,10.7,basic
C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,10.42,basic
C=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.7,basic
C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,10.42,basic
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1C[NH3+],9.5,basic
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,basic
C=CCN(CC=C)CC=C,8.31,basic
C=CCN(CC=C)CCCNC(=O)CN=O,8.74,basic
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,7.94,basic
C=CCN1CCCCC1,9.7,basic
C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,basic
C=CCNCC=C,9.29,basic
C=CCNc1ccccc1,4.17,basic
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,6.53,basic
C=CCOC1(c2ccccc2)CN(C)CCO1,7.09,basic
C=CCOc1ccccc1OCC(O)CNC(C)C,9.57,basic
C=CCOc1ccccc1OCC(O)C[NH2+]C(C)C,9.523333,basic
C=CCOc1nc(N)nc(N)n1,3.43,basic
C=CCOc1noc2c1CNCC2,7.5,basic
C=CCOc1noc2c1C[NH2+]CC2,7.5,basic
C=CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N,5.65,basic
C=CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.2,basic
C=CC[NH+](C)C,8.72,basic
C=CC[NH+](C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1,8.18,basic
C=CC[NH+](C)CCCNC(=O)CN=O,8.99,basic
C=CC[NH+](C)CCOC(=O)C(=C)C,7.39,basic
C=CC[NH+](CC(C)O)CC(C)O,8.2,basic
C=CC[NH+](CC1CO1)CC1CO1,6.16,basic
C=CC[NH+](CC=C)CC=C,8.31,basic
C=CC[NH+](CC=C)CCCNC(=O)CN=O,8.74,basic
C=CC[NH+](CC=C)CCOC(=O)C(=C)C,7.02,basic
C=CC[NH+]1CCCCC1,9.66,basic
C=CC[NH+]1CCOCC1,7.05,basic
C=CC[NH2+]CC=C,9.35,basic
C=CC[NH3+],9.74,basic
C=CCc1ccccc1OCC(O)CNC(C)C,9.51,basic
C=CCc1ccccc1OCC(O)C[NH2+]C(C)C,9.527143,basic
C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,4,basic
C=C[C@@H](C)Nc1ccccc1,4.57,basic
C=C[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6,basic
C=C[C@H](C)Nc1ccccc1,4.57,basic
C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,8.05,basic
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,8.56,basic
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,8.55,basic
C=C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.98,basic
C=C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,9.51,basic
C=C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.83,basic
C=C[C@]1(O)C[NH+]2CC[C@H]1C[C@H]2[C@H](O)c1cc(=O)[nH]c2ccccc12,7.65,basic
C=Cc1ccc(C)nc1,5.67,basic
C=Cc1ccccn1,4.98,basic
C=Cc1cccnc1,4.87,basic
C=Cc1ccncc1,5.62,basic
C=Cc1noc(C2=CCC[NH2+]C2)n1,8.23,basic
C=c1[nH]cc(C)c(=C[NH2+]CCCCCC)c1=O,4.805,basic
C=c1cc(C)c(=Cc2[nH]c(C)cc2C)[nH]1,8.4,basic
CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,5.58,basic
CC#CCOc1noc2c1CNCC2,7.6,basic
CC#CCOc1noc2c1C[NH2+]CC2,7.6,basic
CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,8.6,basic
CC#C[C@H](C)Oc1cc(N)c(Cl)cc1C(=O)N[C@@H]1C[C@H]2CC[C@@H](C1)[NH+]2C,9.95,basic
CC(=C1c2ccccc2CC1CC[NH+](C)C)c1cnccn1,9.1,basic
CC(=N)N1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,10.74,basic
CC(=N)N1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,10.92,basic
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,0.7,basic
CC(=Nc1ccccc1)Nc1ccccc1,8.3,basic
CC(=O)/[NH+]=c1/c(-c2c(Cl)cccc2Cl)cc2cnc(C)nc2n1C,2.5,basic
CC(=O)/[NH+]=c1\ccccn1C,7.12,basic
CC(=O)C(CC[NH+]1CCOCC1)(c1ccccc1)c1ccccc1,6.83,basic
CC(=O)C(C[NH+]1CCCCC1)N=O,8.875,basic
CC(=O)C(C[NH+]1CCOCC1)N=O,7.625,basic
CC(=O)C(C[NH+]1CCOCC1)c1ccccc1,6.23,basic
CC(=O)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC12C,9.18,basic
CC(=O)CC1CCCCN1,9.5,basic
CC(=O)CCCCN(C)C,9.6,basic
CC(=O)CCCC[NH+](C)C,9.66,basic
CC(=O)CCCN(C)C,9.1,basic
CC(=O)CCN(C)C,8.4,basic
CC(=O)CC[NH+](C)C,8.95,basic
CC(=O)CC[NH+]1CCOCC1,6.66,basic
CC(=O)N(C)C[C@H]1C[C@H](c2ccc(C[NH+]3CCCC3)c(Cl)c2)C1,9.3,basic
CC(=O)N(C)c1ccccn1,2.01,basic
CC(=O)N(C)c1cccnc1,3.52,basic
CC(=O)N(C)c1ccncc1,4.62,basic
CC(=O)N(C)c1nc2nc(C)ncc2cc1-c1c(Cl)cccc1Cl,4.2,basic
CC(=O)N1CCNCC1,7.94,basic
CC(=O)N1CCNc2ncnc(C)c21,5.26,basic
CC(=O)N1CC[NH+](C)CC1,7.1,basic
CC(=O)N1CC[NH+](CCC[C@@]2(c3ccccc3)CC(c3cc(F)ccc3F)=NN2C(C)=O)CC1,6.7,basic
CC(=O)N1CC[NH2+]CC1,7.94,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CC(F)C1)c1ccccc1,7.1,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CC2CCC1C2)c1ccccc1,10.1,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CCCC1)c1ccccc1,9.4,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CCOCC1)c1ccccc1,7.1,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1C[C@H]2C[C@@H]1CO2)c1ccccc1,8,basic
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C1COC(OCC2CCCCC2)C(C)N1,6.7,basic
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C1COC(OCC2CCCCC2)CN1,6.7,basic
CC(=O)NC1CONC1=O,5.8,basic
CC(=O)NCC[NH3+],9.28,basic
CC(=O)NCc1ccccn1,4.23,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cc(C(C)(C)C)ncn2)CCCCC1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cc(CC(C)(C)C)no2)CCCCC1,6.4,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(-n3cccn3)c2)CC1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(-n3cccn3)c2)CCCCC1,7.85,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C(F)F)c2)CC1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CC1,6.6,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC1,7.8,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCCCC1,8.133333,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCOCC1,7.2,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C3CCOC3)c2)CCCCC1,8.1,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cnn(CC(C)(C)C)c2)CC1,7.05,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+][C@H]1CCCc2ccc(CC(C)(C)C)cc21,8.9,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CC[C@@H](OCC2CCCCC2)C[NH2+]1,8.6,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC(C)(C)C)[C@H](C)[NH2+]1,6.9,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)C[NH2+]1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)[C@H](C)[NH2+]1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCC2CCCCC2)C[NH2+]1,8.2,basic
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CCP(=O)([O-])[O-])O[C@](O)(C(=O)[O-])C[C@@H]1O,3.5,basic
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)COP(=O)([O-])[O-])O[C@](O)(C(=O)[O-])C[C@@H]1O,3.6,basic
CC(=O)Nc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7.51,basic
CC(=O)Nc1ccc(N)cc1,4.46,basic
CC(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7.51,basic
CC(=O)Nc1ccc2cc3ccccc3nc2c1,5.6,basic
CC(=O)Nc1ccc2nc(N(C)CCO)ccc2c1,8.91,basic
CC(=O)Nc1ccc2nc(OCC[NH+](C)C)ccc2c1,9.94,basic
CC(=O)Nc1ccc2nc(SCC[NH+](C)C)ccc2c1,11.55,basic
CC(=O)Nc1ccc2nc3ccccc3cc2c1,4.7,basic
CC(=O)Nc1ccc2ncccc2c1,5.51,basic
CC(=O)Nc1cccc(Nc2c3ccccc3nc3ccccc23)c1,7.16,basic
CC(=O)Nc1cccc2cc3ccccc3nc12,3,basic
CC(=O)Nc1cccc2nc3ccccc3cc12,4.4,basic
